parent_id,formula_x,strain_percent,mp_id,formula_y,formation_energy_per_atom,magnetic_type,magnetic_moment,pred_formE,pred_magMom
mp-866103,Ac2MgSn,-3,mp-866103,Ac2MgSn,-0.344917513749998,NM,2.71e-05,-0.4705867561837833,-0.09369503370639994
mp-866103,Ac2MgSn,0,mp-866103,Ac2MgSn,-0.344917513749998,NM,2.71e-05,-0.316577229545858,0.011416237301733486
mp-866103,Ac2MgSn,3,mp-866103,Ac2MgSn,-0.344917513749998,NM,2.71e-05,-0.422038761704957,0.04734284474994208
mp-1183079,Ac2MgTl,-3,mp-1183079,Ac2MgTl,-0.199245293333332,NM,0.0008679,-0.1306321479270993,0.015812624152078267
mp-1183079,Ac2MgTl,0,mp-1183079,Ac2MgTl,-0.199245293333332,NM,0.0008679,-0.12019093693784441,-0.0013452456175308183
mp-1183079,Ac2MgTl,3,mp-1183079,Ac2MgTl,-0.199245293333332,NM,0.0008679,-0.21300186467960033,0.011598920073245741
mp-983587,Ac2NiGe,-3,mp-983587,Ac2NiGe,-0.343780956250007,NM,1.04e-05,-0.3135841904768816,0.030484415506908544
mp-983587,Ac2NiGe,0,mp-983587,Ac2NiGe,-0.343780956250007,NM,1.04e-05,-0.35026822460129176,0.0024372422132540724
mp-983587,Ac2NiGe,3,mp-983587,Ac2NiGe,-0.343780956250007,NM,1.04e-05,-0.3180391643533128,-0.014672609822004887
mp-862849,Ac2NiIr,-3,mp-862849,Ac2NiIr,-0.324698736250006,NM,1.3e-06,-0.38366284237190496,0.04528886190820278
mp-862849,Ac2NiIr,0,mp-862849,Ac2NiIr,-0.324698736250006,NM,1.3e-06,-0.28645339732482544,0.01557684300052807
mp-862849,Ac2NiIr,3,mp-862849,Ac2NiIr,-0.324698736250006,NM,1.3e-06,-0.3451517889187439,0.005093065355909848
mp-11107,Ac2O3,-3,mp-11107,Ac2O3,-3.737668289999997,NM,0.0,-2.913499861894044,0.012462992065596395
mp-11107,Ac2O3,0,mp-11107,Ac2O3,-3.737668289999997,NM,0.0,-2.913499861894044,0.004915738967299093
mp-11107,Ac2O3,3,mp-11107,Ac2O3,-3.737668289999997,NM,0.0,-2.913499861894044,0.016371255290500812
mp-32800,Ac2S3,-3,mp-32800,Ac2S3,-2.4930635934375,NM,0.0,-2.4401352115090735,0.0035326897621780536
mp-32800,Ac2S3,0,mp-32800,Ac2S3,-2.4930635934375,NM,0.0,-2.4638017057530814,0.010128185504530218
mp-32800,Ac2S3,3,mp-32800,Ac2S3,-2.4930635934375,NM,0.0,-2.48966506264828,-0.0018390314352119083
mp-977351,Ac2S3,-3,mp-977351,Ac2S3,-2.440363970687502,NM,0.0,-2.3873456287383283,-0.02531486090829637
